Name with Owner,commit,commit_time,deps,log
ytdl-org/youtube-dl,6febd1c1df02870bf8b529ca758d7155cf65ab35,2014-01-05 01:52:03+01:00,[],"/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2014.01.03' to '2014.1.3'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,01c62591d142ed5d027bf096da3b7f9851acd5d6,2014-01-05 04:41:50+01:00,[],"/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2014.01.05' to '2014.1.5'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,56327689a25a4492b68c1b02519f259c924f3da6,2014-01-07 05:49:17+01:00,[],"/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2014.01.07' to '2014.1.7'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,6c57e8a063b7e34208ac9e225786e8152943303a,2014-01-27 06:22:15+01:00,[],"<string>:60: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2014.01.23.4' to '2014.1.23.4'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,56d1912f1d8b886ef0355565e2a4e24560d8a7a6,2014-09-14 14:07:33+02:00,[],"<string>:61: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2014.09.14.2' to '2014.9.14.2'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,9e1a5b845586a0a5431fb72467142046d8571e6f,2014-11-23 21:39:15+01:00,[],"<string>:60: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
"
ytdl-org/youtube-dl,a03aaaed2e0f4653a6b40e92bb91eb848e041de3,2014-11-26 13:08:42+01:00,[],"<string>:60: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
"
ytdl-org/youtube-dl,dae69640d086ca1e2683ca81b60f48a0c6c83eac,2015-10-24 00:10:28+02:00,[],"<string>:60: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:60: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
"
ytdl-org/youtube-dl,5a9858bfa9aba01c9dec549b83f5a0b17a520f13,2016-04-08 21:50:54+02:00,[],"<string>:61: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2016.04.06' to '2016.4.6'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,698f127c1a9dd460c8dede59df6a0e2ce69f913a,2016-06-11 06:14:22+07:00,[],"<string>:61: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:61: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2016.06.11.1' to '2016.6.11.1'
  warnings.warn(tmpl.format(**locals()))
"
